Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD
Coventry City,22,14,6,2,53,23,+30,48,2.18,42.8,23.1,+19.7
Middlesbrough,22,12,6,4,33,24,+9,42,1.91,25.9,20.7,+5.1
Ipswich Town,22,10,7,5,38,23,+15,37,1.68,37.2,19.9,+17.3
Hull City,22,11,4,7,37,35,+2,37,1.68,30.7,38.6,-7.9
Preston,22,9,9,4,30,23,+7,36,1.64,25.4,29.1,-3.7
Millwall,22,10,5,7,25,31,-6,35,1.59,28.2,27.0,+1.2
QPR,22,10,4,8,32,34,-2,34,1.55,29.7,26.1,+3.7
Stoke City,22,10,3,9,28,21,+7,33,1.50,23.8,27.2,-3.4
Bristol City,22,9,6,7,30,24,+6,33,1.50,30.2,30.1,+0.1
Watford,22,8,8,6,31,28,+3,32,1.45,29.7,23.4,+6.3
Southampton,22,8,7,7,36,31,+5,31,1.41,38.8,28.8,+10.0
Derby County,22,8,7,7,31,30,+1,31,1.41,22.2,26.5,-4.3
Leicester City,22,8,7,7,31,31,0,31,1.41,26.2,32.0,-5.8
Birmingham City,22,8,5,9,30,29,+1,29,1.32,31.3,23.8,+7.5
Wrexham,22,6,10,6,27,27,0,28,1.27,25.9,32.1,-6.2
West Brom,22,8,4,10,25,29,-4,28,1.27,26.6,25.6,+1.0
Charlton Ath,21,7,6,8,21,26,-5,27,1.29,21.2,28.5,-7.3
Sheffield Utd,22,8,2,12,28,31,-3,26,1.18,34.1,26.5,+7.6
Swansea City,22,7,5,10,24,30,-6,26,1.18,19.1,26.2,-7.1
Blackburn,21,7,4,10,22,26,-4,25,1.19,30.3,23.5,+6.8
Portsmouth,21,5,6,10,18,28,-10,21,1.00,22.3,28.8,-6.5
Oxford United,22,4,7,11,22,31,-9,19,0.86,23.0,29.2,-6.2
Norwich City,22,4,6,12,25,35,-10,18,0.82,29.2,38.6,-9.3
Sheffield Weds,21,1,6,14,16,43,-27,-9,-0.43,21.8,40.5,-18.6